antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"thal, ca","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, thalach","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","thalach, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"chol, ca, thal","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","chol, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, age, ca","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","age, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, trestbps","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","diagnosis, cp, trestbps, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"oldpeak, ca, thal","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","oldpeak, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"chol, ca, thalach, thal","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"chol, ca, thal","thalach, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, thalach","chol, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","chol, diagnosis, cp, thalach, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, age, ca, thalach","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, age, ca","thalach, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, thalach","age, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","diagnosis, cp, age, thalach, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, thalach, ca, trestbps","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, trestbps","thalach, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca, thalach","diagnosis, cp, trestbps, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"thal, ca","diagnosis, cp, trestbps, thalach, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"oldpeak, ca, thalach, thal","diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
"oldpeak, ca, thal","thalach, diagnosis, cp, sex",0.24915824915824916,0.35353535353535354,0.19528619528619529,0.7837837837837838,2.216988416988417,1.0,0.10719994558378397,2.9898989898989896,0.7310963352404516,0.47933884297520657,0.6655405405405406,0.6680823680823681
